Model,Case,Platform,Generator,Eval_Type,AUC,Accuracy,F1-Score,Precision,Recall
r2plus1d,case1_original,kakao_high,svd,Fold_2,0.3844,0.45,0.5714,0.4681,0.7333
r2plus1d,case1_original,kakao_high,svd,Fold_3,0.3672,0.45,0.6118,0.4727,0.8667
r2plus1d,case1_original,kakao_high,svd,Fold_4,0.4222,0.4667,0.5294,0.4737,0.6
r2plus1d,case1_original,kakao_high,svd,Fold_5,0.3944,0.4167,0.557,0.449,0.7333
r2plus1d,case1_original,kakao_high,svd,Model_Ensemble (Soft Voting),0.3756,0.4667,0.6,0.48,0.8
r2plus1d,case1_original,kakao_high,svd,Folds_Mean ± SD,0.3817 ± 0.0307,0.4433 ± 0.0190,0.5710 ± 0.0308,0.4650 ± 0.0102,0.7467 ± 0.0989
r2plus1d,case4_mixed,original,pika,Fold_1,0.5644,0.5,0.6667,0.5,1.0
r2plus1d,case4_mixed,original,pika,Fold_2,0.6267,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,original,pika,Fold_3,0.6989,0.5,0.6667,0.5,1.0
r2plus1d,case4_mixed,original,pika,Fold_4,0.7778,0.6667,0.75,0.6,1.0
r2plus1d,case4_mixed,original,pika,Fold_5,0.7289,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,original,pika,Model_Ensemble (Soft Voting),0.7378,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,original,pika,Folds_Mean ± SD,0.6793 ± 0.0844,0.5400 ± 0.0713,0.6863 ± 0.0358,0.5234 ± 0.0430,1.0000 ± 0.0000
r2plus1d,case4_mixed,original,runway,Fold_1,0.5922,0.5,0.6667,0.5,1.0
r2plus1d,case4_mixed,original,runway,Fold_2,0.6144,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,original,runway,Fold_3,0.5922,0.5,0.6667,0.5,1.0
r2plus1d,case4_mixed,original,runway,Fold_4,0.8078,0.65,0.7342,0.5918,0.9667
r2plus1d,case4_mixed,original,runway,Fold_5,0.6389,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,original,runway,Model_Ensemble (Soft Voting),0.6489,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,original,runway,Folds_Mean ± SD,0.6491 ± 0.0908,0.5367 ± 0.0639,0.6832 ± 0.0288,0.5218 ± 0.0394,0.9933 ± 0.0149
r2plus1d,case4_mixed,original,svd,Fold_1,0.3767,0.45,0.6207,0.4737,0.9
r2plus1d,case4_mixed,original,svd,Fold_2,0.3933,0.45,0.6118,0.4727,0.8667
r2plus1d,case4_mixed,original,svd,Fold_3,0.39,0.45,0.6207,0.4737,0.9
r2plus1d,case4_mixed,original,svd,Fold_4,0.4756,0.4833,0.5507,0.4872,0.6333
r2plus1d,case4_mixed,original,svd,Fold_5,0.3911,0.4167,0.5783,0.4528,0.8
r2plus1d,case4_mixed,original,svd,Model_Ensemble (Soft Voting),0.4111,0.4667,0.6279,0.4821,0.9
r2plus1d,case4_mixed,original,svd,Folds_Mean ± SD,0.4053 ± 0.0398,0.4500 ± 0.0236,0.5964 ± 0.0309,0.4720 ± 0.0123,0.8200 ± 0.1121
r2plus1d,case4_mixed,instagram,pika,Fold_1,0.5733,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,instagram,pika,Fold_2,0.62,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,instagram,pika,Fold_3,0.7056,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,instagram,pika,Fold_4,0.8211,0.6667,0.75,0.6,1.0
r2plus1d,case4_mixed,instagram,pika,Fold_5,0.7333,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,instagram,pika,Model_Ensemble (Soft Voting),0.7689,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,instagram,pika,Folds_Mean ± SD,0.6907 ± 0.0972,0.5467 ± 0.0671,0.6893 ± 0.0339,0.5268 ± 0.0409,1.0000 ± 0.0000
r2plus1d,case4_mixed,instagram,runway,Fold_1,0.5972,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,instagram,runway,Fold_2,0.6122,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,instagram,runway,Fold_3,0.5983,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,instagram,runway,Fold_4,0.7856,0.6667,0.75,0.6,1.0
r2plus1d,case4_mixed,instagram,runway,Fold_5,0.6356,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,instagram,runway,Model_Ensemble (Soft Voting),0.64,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,instagram,runway,Folds_Mean ± SD,0.6458 ± 0.0797,0.5467 ± 0.0671,0.6893 ± 0.0339,0.5268 ± 0.0409,1.0000 ± 0.0000
r2plus1d,case4_mixed,instagram,svd,Fold_1,0.3794,0.4667,0.6279,0.4821,0.9
r2plus1d,case4_mixed,instagram,svd,Fold_2,0.4022,0.45,0.6118,0.4727,0.8667
r2plus1d,case4_mixed,instagram,svd,Fold_3,0.3994,0.4667,0.6279,0.4821,0.9
r2plus1d,case4_mixed,instagram,svd,Fold_4,0.4756,0.5167,0.5915,0.5122,0.7
r2plus1d,case4_mixed,instagram,svd,Fold_5,0.4011,0.45,0.6118,0.4727,0.8667
r2plus1d,case4_mixed,instagram,svd,Model_Ensemble (Soft Voting),0.4056,0.4667,0.6279,0.4821,0.9
r2plus1d,case4_mixed,instagram,svd,Folds_Mean ± SD,0.4116 ± 0.0370,0.4700 ± 0.0274,0.6142 ± 0.0150,0.4844 ± 0.0162,0.8467 ± 0.0837
r2plus1d,case4_mixed,kakao_normal,pika,Fold_1,0.5811,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,kakao_normal,pika,Fold_2,0.6339,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,kakao_normal,pika,Fold_3,0.7111,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,kakao_normal,pika,Fold_4,0.8128,0.6667,0.75,0.6,1.0
r2plus1d,case4_mixed,kakao_normal,pika,Fold_5,0.7344,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,kakao_normal,pika,Model_Ensemble (Soft Voting),0.7556,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,kakao_normal,pika,Folds_Mean ± SD,0.6947 ± 0.0900,0.5467 ± 0.0671,0.6893 ± 0.0339,0.5268 ± 0.0409,1.0000 ± 0.0000
r2plus1d,case4_mixed,kakao_normal,runway,Fold_1,0.5944,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,kakao_normal,runway,Fold_2,0.6122,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,kakao_normal,runway,Fold_3,0.5928,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,kakao_normal,runway,Fold_4,0.7911,0.65,0.7342,0.5918,0.9667
r2plus1d,case4_mixed,kakao_normal,runway,Fold_5,0.6333,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,kakao_normal,runway,Model_Ensemble (Soft Voting),0.6344,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,kakao_normal,runway,Folds_Mean ± SD,0.6448 ± 0.0834,0.5433 ± 0.0596,0.6862 ± 0.0268,0.5251 ± 0.0373,0.9933 ± 0.0149
r2plus1d,case4_mixed,kakao_normal,svd,Fold_1,0.3828,0.4667,0.6279,0.4821,0.9
r2plus1d,case4_mixed,kakao_normal,svd,Fold_2,0.41,0.45,0.6118,0.4727,0.8667
r2plus1d,case4_mixed,kakao_normal,svd,Fold_3,0.3989,0.4667,0.6279,0.4821,0.9
r2plus1d,case4_mixed,kakao_normal,svd,Fold_4,0.4711,0.4833,0.5507,0.4872,0.6333
r2plus1d,case4_mixed,kakao_normal,svd,Fold_5,0.3967,0.4167,0.5783,0.4528,0.8
r2plus1d,case4_mixed,kakao_normal,svd,Model_Ensemble (Soft Voting),0.41,0.4667,0.6279,0.4821,0.9
r2plus1d,case4_mixed,kakao_normal,svd,Folds_Mean ± SD,0.4119 ± 0.0345,0.4567 ± 0.0253,0.5993 ± 0.0339,0.4754 ± 0.0137,0.8200 ± 0.1121
r2plus1d,case4_mixed,kakao_high,pika,Fold_1,0.5522,0.5,0.6667,0.5,1.0
r2plus1d,case4_mixed,kakao_high,pika,Fold_2,0.6244,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,kakao_high,pika,Fold_3,0.6833,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,kakao_high,pika,Fold_4,0.7778,0.6833,0.7595,0.6122,1.0
r2plus1d,case4_mixed,kakao_high,pika,Fold_5,0.7189,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,kakao_high,pika,Model_Ensemble (Soft Voting),0.7344,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,kakao_high,pika,Folds_Mean ± SD,0.6713 ± 0.0868,0.5467 ± 0.0767,0.6897 ± 0.0391,0.5275 ± 0.0475,1.0000 ± 0.0000
r2plus1d,case4_mixed,kakao_high,runway,Fold_1,0.5844,0.5,0.6667,0.5,1.0
r2plus1d,case4_mixed,kakao_high,runway,Fold_2,0.6144,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,kakao_high,runway,Fold_3,0.5933,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,kakao_high,runway,Fold_4,0.7956,0.6667,0.7436,0.6042,0.9667
r2plus1d,case4_mixed,kakao_high,runway,Fold_5,0.6367,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,kakao_high,runway,Model_Ensemble (Soft Voting),0.6378,0.5167,0.6742,0.5085,1.0
r2plus1d,case4_mixed,kakao_high,runway,Folds_Mean ± SD,0.6449 ± 0.0866,0.5433 ± 0.0693,0.6865 ± 0.0321,0.5259 ± 0.0439,0.9933 ± 0.0149
r2plus1d,case4_mixed,kakao_high,svd,Fold_1,0.3722,0.45,0.6207,0.4737,0.9
r2plus1d,case4_mixed,kakao_high,svd,Fold_2,0.3978,0.45,0.6118,0.4727,0.8667
r2plus1d,case4_mixed,kakao_high,svd,Fold_3,0.3844,0.4667,0.6279,0.4821,0.9
r2plus1d,case4_mixed,kakao_high,svd,Fold_4,0.4633,0.5167,0.5797,0.5128,0.6667
r2plus1d,case4_mixed,kakao_high,svd,Fold_5,0.3906,0.4167,0.5783,0.4528,0.8
r2plus1d,case4_mixed,kakao_high,svd,Model_Ensemble (Soft Voting),0.4033,0.4667,0.6279,0.4821,0.9
r2plus1d,case4_mixed,kakao_high,svd,Folds_Mean ± SD,0.4017 ± 0.0357,0.4600 ± 0.0365,0.6037 ± 0.0232,0.4788 ± 0.0218,0.8267 ± 0.0983
videomae,case1_original,original,pika,Fold_1,0.8367,0.65,0.7407,0.5882,1.0
videomae,case1_original,original,pika,Fold_2,0.8478,0.7333,0.7895,0.6522,1.0
videomae,case1_original,original,pika,Fold_3,0.8133,0.7333,0.7895,0.6522,1.0
videomae,case1_original,original,pika,Fold_4,0.8367,0.7,0.7692,0.625,1.0
videomae,case1_original,original,pika,Fold_5,0.8522,0.6167,0.7229,0.566,1.0
videomae,case1_original,original,pika,Model_Ensemble (Soft Voting),0.8533,0.7333,0.7895,0.6522,1.0
videomae,case1_original,original,pika,Folds_Mean ± SD,0.8373 ± 0.0151,0.6867 ± 0.0519,0.7624 ± 0.0298,0.6167 ± 0.0386,1.0000 ± 0.0000
videomae,case1_original,original,runway,Fold_1,0.8967,0.65,0.7407,0.5882,1.0
videomae,case1_original,original,runway,Fold_2,0.8511,0.7333,0.7895,0.6522,1.0
videomae,case1_original,original,runway,Fold_3,0.915,0.7333,0.7895,0.6522,1.0
videomae,case1_original,original,runway,Fold_4,0.8667,0.7,0.7692,0.625,1.0
videomae,case1_original,original,runway,Fold_5,0.9256,0.6167,0.7229,0.566,1.0
videomae,case1_original,original,runway,Model_Ensemble (Soft Voting),0.8944,0.7333,0.7895,0.6522,1.0
videomae,case1_original,original,runway,Folds_Mean ± SD,0.8910 ± 0.0316,0.6867 ± 0.0519,0.7624 ± 0.0298,0.6167 ± 0.0386,1.0000 ± 0.0000
videomae,case1_original,original,svd,Fold_1,0.6911,0.5833,0.6753,0.5532,0.8667
videomae,case1_original,original,svd,Fold_2,0.6756,0.6333,0.6857,0.6,0.8
videomae,case1_original,original,svd,Fold_3,0.6644,0.6333,0.6857,0.6,0.8
videomae,case1_original,original,svd,Fold_4,0.65,0.6167,0.6849,0.5814,0.8333
videomae,case1_original,original,svd,Fold_5,0.6489,0.5167,0.6234,0.5106,0.8
videomae,case1_original,original,svd,Model_Ensemble (Soft Voting),0.6856,0.6667,0.7222,0.619,0.8667
videomae,case1_original,original,svd,Folds_Mean ± SD,0.6660 ± 0.0178,0.5967 ± 0.0492,0.6710 ± 0.0270,0.5690 ± 0.0379,0.8200 ± 0.0298
videomae,case1_original,instagram,pika,Fold_1,0.8256,0.6333,0.7317,0.5769,1.0
videomae,case1_original,instagram,pika,Fold_2,0.8256,0.7333,0.7895,0.6522,1.0
videomae,case1_original,instagram,pika,Fold_3,0.8067,0.7167,0.7792,0.6383,1.0
videomae,case1_original,instagram,pika,Fold_4,0.8311,0.6333,0.7317,0.5769,1.0
videomae,case1_original,instagram,pika,Fold_5,0.8422,0.6333,0.7317,0.5769,1.0
videomae,case1_original,instagram,pika,Model_Ensemble (Soft Voting),0.84,0.6667,0.75,0.6,1.0
videomae,case1_original,instagram,pika,Folds_Mean ± SD,0.8262 ± 0.0129,0.6700 ± 0.0506,0.7528 ± 0.0291,0.6042 ± 0.0377,1.0000 ± 0.0000
videomae,case1_original,instagram,runway,Fold_1,0.8878,0.6333,0.7317,0.5769,1.0
videomae,case1_original,instagram,runway,Fold_2,0.8578,0.7333,0.7895,0.6522,1.0
videomae,case1_original,instagram,runway,Fold_3,0.8956,0.7167,0.7792,0.6383,1.0
videomae,case1_original,instagram,runway,Fold_4,0.8556,0.6333,0.7317,0.5769,1.0
videomae,case1_original,instagram,runway,Fold_5,0.9244,0.6333,0.7317,0.5769,1.0
videomae,case1_original,instagram,runway,Model_Ensemble (Soft Voting),0.8978,0.6667,0.75,0.6,1.0
videomae,case1_original,instagram,runway,Folds_Mean ± SD,0.8842 ± 0.0286,0.6700 ± 0.0506,0.7528 ± 0.0291,0.6042 ± 0.0377,1.0000 ± 0.0000
videomae,case1_original,instagram,svd,Fold_1,0.6556,0.55,0.6494,0.5319,0.8333
videomae,case1_original,instagram,svd,Fold_2,0.6289,0.65,0.7042,0.6098,0.8333
videomae,case1_original,instagram,svd,Fold_3,0.635,0.6167,0.6761,0.5854,0.8
videomae,case1_original,instagram,svd,Fold_4,0.6222,0.5333,0.6316,0.5217,0.8
videomae,case1_original,instagram,svd,Fold_5,0.6267,0.55,0.6494,0.5319,0.8333
videomae,case1_original,instagram,svd,Model_Ensemble (Soft Voting),0.6389,0.6,0.6842,0.5652,0.8667
videomae,case1_original,instagram,svd,Folds_Mean ± SD,0.6337 ± 0.0131,0.5800 ± 0.0506,0.6621 ± 0.0284,0.5561 ± 0.0390,0.8200 ± 0.0183
videomae,case1_original,kakao_normal,pika,Fold_1,0.8278,0.6333,0.7317,0.5769,1.0
videomae,case1_original,kakao_normal,pika,Fold_2,0.8428,0.7333,0.7895,0.6522,1.0
videomae,case1_original,kakao_normal,pika,Fold_3,0.8117,0.7167,0.7792,0.6383,1.0
videomae,case1_original,kakao_normal,pika,Fold_4,0.8356,0.6833,0.7595,0.6122,1.0
videomae,case1_original,kakao_normal,pika,Fold_5,0.8556,0.6167,0.7229,0.566,1.0
videomae,case1_original,kakao_normal,pika,Model_Ensemble (Soft Voting),0.8489,0.7,0.7692,0.625,1.0
videomae,case1_original,kakao_normal,pika,Folds_Mean ± SD,0.8347 ± 0.0164,0.6767 ± 0.0508,0.7566 ± 0.0290,0.6091 ± 0.0374,1.0000 ± 0.0000
videomae,case1_original,kakao_normal,runway,Fold_1,0.895,0.6333,0.7317,0.5769,1.0
videomae,case1_original,kakao_normal,runway,Fold_2,0.8544,0.7333,0.7895,0.6522,1.0
videomae,case1_original,kakao_normal,runway,Fold_3,0.9033,0.7167,0.7792,0.6383,1.0
videomae,case1_original,kakao_normal,runway,Fold_4,0.8578,0.6833,0.7595,0.6122,1.0
videomae,case1_original,kakao_normal,runway,Fold_5,0.9278,0.6167,0.7229,0.566,1.0
videomae,case1_original,kakao_normal,runway,Model_Ensemble (Soft Voting),0.8956,0.7,0.7692,0.625,1.0
videomae,case1_original,kakao_normal,runway,Folds_Mean ± SD,0.8877 ± 0.0312,0.6767 ± 0.0508,0.7566 ± 0.0290,0.6091 ± 0.0374,1.0000 ± 0.0000
videomae,case1_original,kakao_normal,svd,Fold_1,0.6633,0.55,0.6494,0.5319,0.8333
videomae,case1_original,kakao_normal,svd,Fold_2,0.64,0.65,0.7042,0.6098,0.8333
videomae,case1_original,kakao_normal,svd,Fold_3,0.65,0.6167,0.6761,0.5854,0.8
videomae,case1_original,kakao_normal,svd,Fold_4,0.6178,0.5833,0.6575,0.5581,0.8
videomae,case1_original,kakao_normal,svd,Fold_5,0.6267,0.5167,0.6234,0.5106,0.8
videomae,case1_original,kakao_normal,svd,Model_Ensemble (Soft Voting),0.6622,0.6333,0.7027,0.5909,0.8667
videomae,case1_original,kakao_normal,svd,Folds_Mean ± SD,0.6396 ± 0.0181,0.5833 ± 0.0527,0.6621 ± 0.0302,0.5592 ± 0.0398,0.8133 ± 0.0183
videomae,case1_original,kakao_high,pika,Fold_1,0.8344,0.6667,0.75,0.6,1.0
videomae,case1_original,kakao_high,pika,Fold_2,0.8422,0.7333,0.7895,0.6522,1.0
videomae,case1_original,kakao_high,pika,Fold_3,0.8144,0.7333,0.7895,0.6522,1.0
videomae,case1_original,kakao_high,pika,Fold_4,0.8333,0.7,0.7692,0.625,1.0
videomae,case1_original,kakao_high,pika,Fold_5,0.8522,0.6333,0.7317,0.5769,1.0
videomae,case1_original,kakao_high,pika,Model_Ensemble (Soft Voting),0.8511,0.7167,0.7792,0.6383,1.0
videomae,case1_original,kakao_high,pika,Folds_Mean ± SD,0.8353 ± 0.0139,0.6933 ± 0.0435,0.7660 ± 0.0252,0.6213 ± 0.0330,1.0000 ± 0.0000
videomae,case1_original,kakao_high,runway,Fold_1,0.8956,0.6667,0.75,0.6,1.0
videomae,case1_original,kakao_high,runway,Fold_2,0.85,0.7333,0.7895,0.6522,1.0
videomae,case1_original,kakao_high,runway,Fold_3,0.9133,0.7333,0.7895,0.6522,1.0
videomae,case1_original,kakao_high,runway,Fold_4,0.8617,0.7,0.7692,0.625,1.0
videomae,case1_original,kakao_high,runway,Fold_5,0.9211,0.6333,0.7317,0.5769,1.0
videomae,case1_original,kakao_high,runway,Model_Ensemble (Soft Voting),0.8956,0.7167,0.7792,0.6383,1.0
videomae,case1_original,kakao_high,runway,Folds_Mean ± SD,0.8883 ± 0.0314,0.6933 ± 0.0435,0.7660 ± 0.0252,0.6213 ± 0.0330,1.0000 ± 0.0000
videomae,case1_original,kakao_high,svd,Fold_1,0.6867,0.6,0.6842,0.5652,0.8667
videomae,case1_original,kakao_high,svd,Fold_2,0.67,0.6333,0.6857,0.6,0.8
videomae,case1_original,kakao_high,svd,Fold_3,0.6589,0.6333,0.6857,0.6,0.8
videomae,case1_original,kakao_high,svd,Fold_4,0.6422,0.6,0.6667,0.5714,0.8
videomae,case1_original,kakao_high,svd,Fold_5,0.6456,0.55,0.6494,0.5319,0.8333
videomae,case1_original,kakao_high,svd,Model_Ensemble (Soft Voting),0.6822,0.6333,0.6944,0.5952,0.8333
videomae,case1_original,kakao_high,svd,Folds_Mean ± SD,0.6607 ± 0.0183,0.6033 ± 0.0342,0.6743 ± 0.0161,0.5737 ± 0.0283,0.8200 ± 0.0298
videomae,case4_mixed,original,pika,Fold_1,0.8144,0.55,0.6897,0.5263,1.0
videomae,case4_mixed,original,pika,Fold_2,0.7933,0.6667,0.75,0.6,1.0
videomae,case4_mixed,original,pika,Fold_3,0.7922,0.6333,0.7317,0.5769,1.0
videomae,case4_mixed,original,pika,Fold_4,0.7967,0.5667,0.6977,0.5357,1.0
videomae,case4_mixed,original,pika,Fold_5,0.8322,0.5833,0.7059,0.5455,1.0
videomae,case4_mixed,original,pika,Model_Ensemble (Soft Voting),0.8256,0.5667,0.6977,0.5357,1.0
videomae,case4_mixed,original,pika,Folds_Mean ± SD,0.8058 ± 0.0173,0.6000 ± 0.0486,0.7150 ± 0.0251,0.5569 ± 0.0307,1.0000 ± 0.0000
videomae,case4_mixed,original,runway,Fold_1,0.8756,0.55,0.6897,0.5263,1.0
videomae,case4_mixed,original,runway,Fold_2,0.8156,0.6667,0.75,0.6,1.0
videomae,case4_mixed,original,runway,Fold_3,0.8656,0.6333,0.7317,0.5769,1.0
videomae,case4_mixed,original,runway,Fold_4,0.8467,0.5667,0.6977,0.5357,1.0
videomae,case4_mixed,original,runway,Fold_5,0.9256,0.5833,0.7059,0.5455,1.0
videomae,case4_mixed,original,runway,Model_Ensemble (Soft Voting),0.8767,0.5667,0.6977,0.5357,1.0
videomae,case4_mixed,original,runway,Folds_Mean ± SD,0.8658 ± 0.0405,0.6000 ± 0.0486,0.7150 ± 0.0251,0.5569 ± 0.0307,1.0000 ± 0.0000
videomae,case4_mixed,original,svd,Fold_1,0.5844,0.4667,0.6098,0.4808,0.8333
videomae,case4_mixed,original,svd,Fold_2,0.5567,0.5667,0.6486,0.5455,0.8
videomae,case4_mixed,original,svd,Fold_3,0.5333,0.5333,0.6316,0.5217,0.8
videomae,case4_mixed,original,svd,Fold_4,0.5644,0.5167,0.6506,0.5094,0.9
videomae,case4_mixed,original,svd,Fold_5,0.55,0.5,0.625,0.5,0.8333
videomae,case4_mixed,original,svd,Model_Ensemble (Soft Voting),0.5544,0.4833,0.6173,0.4902,0.8333
videomae,case4_mixed,original,svd,Folds_Mean ± SD,0.5578 ± 0.0188,0.5167 ± 0.0373,0.6331 ± 0.0170,0.5115 ± 0.0242,0.8333 ± 0.0408
videomae,case4_mixed,instagram,pika,Fold_1,0.8067,0.55,0.6897,0.5263,1.0
videomae,case4_mixed,instagram,pika,Fold_2,0.7744,0.6667,0.75,0.6,1.0
videomae,case4_mixed,instagram,pika,Fold_3,0.79,0.6333,0.7317,0.5769,1.0
videomae,case4_mixed,instagram,pika,Fold_4,0.79,0.55,0.6897,0.5263,1.0
videomae,case4_mixed,instagram,pika,Fold_5,0.8172,0.5833,0.7059,0.5455,1.0
videomae,case4_mixed,instagram,pika,Model_Ensemble (Soft Voting),0.8189,0.5833,0.7059,0.5455,1.0
videomae,case4_mixed,instagram,pika,Folds_Mean ± SD,0.7957 ± 0.0166,0.5967 ± 0.0519,0.7134 ± 0.0267,0.5550 ± 0.0326,1.0000 ± 0.0000
videomae,case4_mixed,instagram,runway,Fold_1,0.8689,0.55,0.6897,0.5263,1.0
videomae,case4_mixed,instagram,runway,Fold_2,0.8133,0.6667,0.75,0.6,1.0
videomae,case4_mixed,instagram,runway,Fold_3,0.8544,0.6333,0.7317,0.5769,1.0
videomae,case4_mixed,instagram,runway,Fold_4,0.8444,0.55,0.6897,0.5263,1.0
videomae,case4_mixed,instagram,runway,Fold_5,0.9156,0.5833,0.7059,0.5455,1.0
videomae,case4_mixed,instagram,runway,Model_Ensemble (Soft Voting),0.87,0.5833,0.7059,0.5455,1.0
videomae,case4_mixed,instagram,runway,Folds_Mean ± SD,0.8593 ± 0.0375,0.5967 ± 0.0519,0.7134 ± 0.0267,0.5550 ± 0.0326,1.0000 ± 0.0000
videomae,case4_mixed,instagram,svd,Fold_1,0.5744,0.4833,0.6265,0.4906,0.8667
videomae,case4_mixed,instagram,svd,Fold_2,0.56,0.5667,0.6486,0.5455,0.8
videomae,case4_mixed,instagram,svd,Fold_3,0.5289,0.55,0.6494,0.5319,0.8333
videomae,case4_mixed,instagram,svd,Fold_4,0.5528,0.5,0.6429,0.5,0.9
videomae,case4_mixed,instagram,svd,Fold_5,0.545,0.5,0.625,0.5,0.8333
videomae,case4_mixed,instagram,svd,Model_Ensemble (Soft Voting),0.5544,0.5,0.625,0.5,0.8333
videomae,case4_mixed,instagram,svd,Folds_Mean ± SD,0.5522 ± 0.0170,0.5200 ± 0.0361,0.6385 ± 0.0119,0.5136 ± 0.0237,0.8467 ± 0.0380
videomae,case4_mixed,kakao_normal,pika,Fold_1,0.8133,0.55,0.6897,0.5263,1.0
videomae,case4_mixed,kakao_normal,pika,Fold_2,0.7778,0.6667,0.75,0.6,1.0
videomae,case4_mixed,kakao_normal,pika,Fold_3,0.79,0.65,0.7407,0.5882,1.0
videomae,case4_mixed,kakao_normal,pika,Fold_4,0.7917,0.55,0.6897,0.5263,1.0
videomae,case4_mixed,kakao_normal,pika,Fold_5,0.8278,0.5833,0.7059,0.5455,1.0
videomae,case4_mixed,kakao_normal,pika,Model_Ensemble (Soft Voting),0.8178,0.5833,0.7059,0.5455,1.0
videomae,case4_mixed,kakao_normal,pika,Folds_Mean ± SD,0.8001 ± 0.0201,0.6000 ± 0.0553,0.7152 ± 0.0285,0.5573 ± 0.0348,1.0000 ± 0.0000
videomae,case4_mixed,kakao_normal,runway,Fold_1,0.8711,0.55,0.6897,0.5263,1.0
videomae,case4_mixed,kakao_normal,runway,Fold_2,0.8033,0.6667,0.75,0.6,1.0
videomae,case4_mixed,kakao_normal,runway,Fold_3,0.8556,0.65,0.7407,0.5882,1.0
videomae,case4_mixed,kakao_normal,runway,Fold_4,0.8417,0.55,0.6897,0.5263,1.0
videomae,case4_mixed,kakao_normal,runway,Fold_5,0.92,0.5833,0.7059,0.5455,1.0
videomae,case4_mixed,kakao_normal,runway,Model_Ensemble (Soft Voting),0.8689,0.5833,0.7059,0.5455,1.0
videomae,case4_mixed,kakao_normal,runway,Folds_Mean ± SD,0.8583 ± 0.0427,0.6000 ± 0.0553,0.7152 ± 0.0285,0.5573 ± 0.0348,1.0000 ± 0.0000
videomae,case4_mixed,kakao_normal,svd,Fold_1,0.5856,0.4667,0.6098,0.4808,0.8333
videomae,case4_mixed,kakao_normal,svd,Fold_2,0.5456,0.5667,0.6486,0.5455,0.8
videomae,case4_mixed,kakao_normal,svd,Fold_3,0.5267,0.55,0.64,0.5333,0.8
videomae,case4_mixed,kakao_normal,svd,Fold_4,0.5622,0.5,0.6429,0.5,0.9
videomae,case4_mixed,kakao_normal,svd,Fold_5,0.5428,0.5,0.625,0.5,0.8333
videomae,case4_mixed,kakao_normal,svd,Model_Ensemble (Soft Voting),0.55,0.5,0.625,0.5,0.8333
videomae,case4_mixed,kakao_normal,svd,Folds_Mean ± SD,0.5526 ± 0.0223,0.5167 ± 0.0408,0.6333 ± 0.0158,0.5119 ± 0.0266,0.8333 ± 0.0408
videomae,case4_mixed,kakao_high,pika,Fold_1,0.8128,0.55,0.6897,0.5263,1.0
videomae,case4_mixed,kakao_high,pika,Fold_2,0.7922,0.6667,0.75,0.6,1.0
videomae,case4_mixed,kakao_high,pika,Fold_3,0.7889,0.6333,0.7317,0.5769,1.0
videomae,case4_mixed,kakao_high,pika,Fold_4,0.7867,0.55,0.6897,0.5263,1.0
videomae,case4_mixed,kakao_high,pika,Fold_5,0.83,0.6,0.7143,0.5556,1.0
videomae,case4_mixed,kakao_high,pika,Model_Ensemble (Soft Voting),0.8256,0.5833,0.7059,0.5455,1.0
videomae,case4_mixed,kakao_high,pika,Folds_Mean ± SD,0.8021 ± 0.0187,0.6000 ± 0.0514,0.7151 ± 0.0264,0.5570 ± 0.0321,1.0000 ± 0.0000
videomae,case4_mixed,kakao_high,runway,Fold_1,0.8789,0.55,0.6897,0.5263,1.0
videomae,case4_mixed,kakao_high,runway,Fold_2,0.8133,0.6667,0.75,0.6,1.0
