Model,Case,Platform,Generator,Eval_Type,AUC,Accuracy,F1-Score,Precision,Recall
xception,case4_mixed,kakao_normal,runway,Folds_Mean ± SD,0.5636 ± 0.1039,0.5200 ± 0.0794,0.5306 ± 0.1006,0.5266 ± 0.0925,0.5667 ± 0.2186
xception,case4_mixed,kakao_normal,svd,Fold_1,0.5922,0.5333,0.5172,0.5357,0.5
xception,case4_mixed,kakao_normal,svd,Fold_2,0.4544,0.4667,0.6279,0.4821,0.9
xception,case4_mixed,kakao_normal,svd,Fold_3,0.4422,0.3833,0.3273,0.36,0.3
xception,case4_mixed,kakao_normal,svd,Fold_4,0.57,0.5667,0.48,0.6,0.4
xception,case4_mixed,kakao_normal,svd,Fold_5,0.4611,0.5,0.4643,0.5,0.4333
xception,case4_mixed,kakao_normal,svd,Model_Ensemble (Soft Voting),0.5311,0.55,0.5846,0.5429,0.6333
xception,case4_mixed,kakao_normal,svd,Folds_Mean ± SD,0.5040 ± 0.0712,0.4900 ± 0.0703,0.4833 ± 0.1081,0.4956 ± 0.0882,0.5067 ± 0.2314
xception,case4_mixed,kakao_high,pika,Fold_1,0.7644,0.7,0.7353,0.6579,0.8333
xception,case4_mixed,kakao_high,pika,Fold_2,0.5089,0.4167,0.5783,0.4528,0.8
xception,case4_mixed,kakao_high,pika,Fold_3,0.5344,0.5333,0.5333,0.5333,0.5333
xception,case4_mixed,kakao_high,pika,Fold_4,0.8544,0.7833,0.7869,0.7742,0.8
xception,case4_mixed,kakao_high,pika,Fold_5,0.5211,0.5167,0.5085,0.5172,0.5
xception,case4_mixed,kakao_high,pika,Model_Ensemble (Soft Voting),0.7322,0.65,0.7042,0.6098,0.8333
xception,case4_mixed,kakao_high,pika,Folds_Mean ± SD,0.6367 ± 0.1612,0.5900 ± 0.1484,0.6285 ± 0.1250,0.5871 ± 0.1283,0.6933 ± 0.1623
xception,case4_mixed,kakao_high,runway,Fold_1,0.6133,0.5833,0.5902,0.5806,0.6
xception,case4_mixed,kakao_high,runway,Fold_2,0.68,0.4833,0.6437,0.4912,0.9333
xception,case4_mixed,kakao_high,runway,Fold_3,0.4911,0.4833,0.4561,0.4815,0.4333
xception,case4_mixed,kakao_high,runway,Fold_4,0.6317,0.65,0.6038,0.6957,0.5333
xception,case4_mixed,kakao_high,runway,Fold_5,0.4311,0.5,0.4828,0.5,0.4667
xception,case4_mixed,kakao_high,runway,Model_Ensemble (Soft Voting),0.6389,0.6,0.6471,0.5789,0.7333
xception,case4_mixed,kakao_high,runway,Folds_Mean ± SD,0.5694 ± 0.1040,0.5400 ± 0.0742,0.5553 ± 0.0813,0.5498 ± 0.0906,0.5933 ± 0.2006
xception,case4_mixed,kakao_high,svd,Fold_1,0.5822,0.5667,0.5667,0.5667,0.5667
xception,case4_mixed,kakao_high,svd,Fold_2,0.4578,0.4833,0.6437,0.4912,0.9333
xception,case4_mixed,kakao_high,svd,Fold_3,0.4222,0.4,0.3077,0.3636,0.2667
xception,case4_mixed,kakao_high,svd,Fold_4,0.5822,0.5833,0.4898,0.6316,0.4
xception,case4_mixed,kakao_high,svd,Fold_5,0.4622,0.4833,0.4561,0.4815,0.4333
xception,case4_mixed,kakao_high,svd,Model_Ensemble (Soft Voting),0.5367,0.5667,0.6061,0.5556,0.6667
xception,case4_mixed,kakao_high,svd,Folds_Mean ± SD,0.5013 ± 0.0755,0.5033 ± 0.0740,0.4928 ± 0.1263,0.5069 ± 0.1007,0.5200 ± 0.2545
